Zip,Territory,Region
79124,TX EL PASO,CENTRAL
30093,GA ATLANTA NORTH,SOUTH
66227,MO KANSAS CITY,CENTRAL
6357,CT HARTFORD,EAST
14221,NY BUFFALO,EAST
28150,NC CHARLOTTE,SOUTH
94103,CA SAN FRANCISCO EAST,WEST
50266,MO KANSAS CITY,CENTRAL
92673,CA IRVINE,WEST
93720,CA CENTRAL,WEST
64468,MO KANSAS CITY,CENTRAL
48075,MI DETROIT,EAST
40165,KY LOUISVILLE,EAST
28601,NC CHARLOTTE,SOUTH
11374,NY QUEENS,NORTH
94597,CA SAN FRANCISCO EAST,WEST
28739,SC GREENVILLE,SOUTH
27103,NC CHARLOTTE,SOUTH
11355,NY QUEENS,NORTH
2906,CT HARTFORD,EAST
7960,NJ HACKENSACK,NORTH
33511,FL TAMPA,SOUTH
27704,NC RALEIGH,EAST
44113,PA PITTSBURGH,EAST
40503,KY LOUISVILLE,EAST
2879,CT HARTFORD,EAST
33437,FL WEST PALM BEACH,SOUTH
95610,CA SACRAMENTO,WEST
11581,NY LONG ISLAND WEST,NORTH
10017,NY MANHATTAN,NORTH
32960,FL WEST PALM BEACH,SOUTH
45424,KY LOUISVILLE,EAST
48034,MI DETROIT,EAST
94606,CA SAN FRANCISCO EAST,WEST
87110,TX EL PASO,CENTRAL
24014,VA ALEXANDRIA,EAST
10306,NJ NORTHERN,NORTH
77327,TX HOUSTON NORTH,CENTRAL
11220,NY BROOKLYN,NORTH
91910,CA SAN DIEGO,WEST
29212,NC CHARLOTTE,SOUTH
85395,AZ ARIZONA,WEST
92586,CA RIVERSIDE,WEST
60615,IN INDIANAPOLIS NORTH,EAST
46506,IN INDIANAPOLIS NORTH,EAST
95401,CA SAN FRANCISCO EAST,WEST
95757,CA SACRAMENTO,WEST
33458,FL WEST PALM BEACH,SOUTH
91803,CA LOS ANGELES NORTH,WEST
94565,CA SAN FRANCISCO EAST,WEST
75243,TX DALLAS,CENTRAL
78228,TX AUSTIN,CENTRAL
90638,CA LONG BEACH,WEST
6107,CT HARTFORD,EAST
11377,NY QUEENS,NORTH
1772,CT HARTFORD,EAST
12180,NY WESTCHESTER,EAST
19977,PA PHILADELPHIA SOUTH,NORTH
60401,IN INDIANAPOLIS NORTH,EAST
21236,MD BETHESDA SOUTH,EAST
11235,NY BROOKLYN,NORTH
35601,AL HUNTSVILLE,CENTRAL
28681,NC CHARLOTTE,SOUTH
1864,CT HARTFORD,EAST
33140,FL MIAMI,SOUTH
77030,TX HOUSTON NORTH,CENTRAL
30034,GA ATLANTA SOUTH,SOUTH
91360,CA LOS ANGELES NORTH,WEST
2186,CT HARTFORD,EAST
30014,GA ATLANTA SOUTH,SOUTH
36867,AL BIRMINGHAM,SOUTH
8861,NJ CENTRAL,NORTH
31707,GA ATLANTA SOUTH,SOUTH
64131,MO KANSAS CITY,CENTRAL
77385,TX HOUSTON NORTH,CENTRAL
93110,CA SAN JOSE,WEST
45069,KY LOUISVILLE,EAST
7012,NJ HACKENSACK,NORTH
36066,AL BIRMINGHAM,SOUTH
60026,IN INDIANAPOLIS NORTH,EAST
91730,CA RIVERSIDE,WEST
92606,CA IRVINE,WEST
34209,FL TAMPA,SOUTH
76031,TX FORT WORTH,CENTRAL
43204,PA PITTSBURGH,EAST
70403,LA NEW ORLEANS,SOUTH
49204,MI DETROIT,EAST
49007,MI DETROIT,EAST
2744,CT HARTFORD,EAST
93274,CA CENTRAL,WEST
95116,CA SAN JOSE,WEST
74804,OK OKLAHOMA CITY,CENTRAL
40403,KY LOUISVILLE,EAST
90505,CA LONG BEACH,WEST
29301,NC CHARLOTTE,SOUTH
45157,KY LOUISVILLE,EAST
33409,FL WEST PALM BEACH,SOUTH
32726,FL ORLANDO,SOUTH
13057,NY BUFFALO,EAST
85086,AZ ARIZONA,WEST
34471,FL TALLAHASSEE,SOUTH
23226,VA ALEXANDRIA,EAST
35051,AL BIRMINGHAM,SOUTH
33157,FL MIAMI,SOUTH
16504,NY BUFFALO,EAST
76132,TX FORT WORTH,CENTRAL
48304,MI DETROIT,EAST
80012,CO SOUTH,WEST
40217,KY LOUISVILLE,EAST
29646,SC GREENVILLE,SOUTH
16823,PA PITTSBURGH,EAST
33351,FL WEST PALM BEACH,SOUTH
8043,NJ SOUTHERN,NORTH
72401,TN NASHVILLE,CENTRAL
45405,KY LOUISVILLE,EAST
6340,CT HARTFORD,EAST
7006,NJ NORTHERN,NORTH
74133,OK OKLAHOMA CITY,CENTRAL
92270,CA RIVERSIDE,WEST
27288,NC RALEIGH,EAST
28374,NC WILMINGTON,EAST
7432,NJ HACKENSACK,NORTH
77840,TX HOUSTON NORTH,CENTRAL
78665,TX AUSTIN,CENTRAL
90745,CA LONG BEACH,WEST
14052,NY BUFFALO,EAST
73055,OK OKLAHOMA CITY,CENTRAL
48093,MI DETROIT,EAST
48114,MI DETROIT,EAST
7601,NJ HACKENSACK,NORTH
24112,VA ALEXANDRIA,EAST
1960,CT HARTFORD,EAST
6111,CT HARTFORD,EAST
29681,SC GREENVILLE,SOUTH
94960,CA SAN FRANCISCO EAST,WEST
80234,CO SOUTH,WEST
44256,PA PITTSBURGH,EAST
10901,NY WESTCHESTER,EAST
28025,NC CHARLOTTE,SOUTH
46216,IN INDIANAPOLIS NORTH,EAST
29574,NC WILMINGTON,EAST
80112,CO SOUTH,WEST
15212,PA PITTSBURGH,EAST
95817,CA SACRAMENTO,WEST
29072,NC CHARLOTTE,SOUTH
