Zip,Territory,Region
46902,IN INDIANAPOLIS NORTH,EAST
92117,CA SAN DIEGO,WEST
40741,KY LOUISVILLE,EAST
77008,TX HOUSTON NORTH,CENTRAL
32806,FL ORLANDO,SOUTH
80918,CO SOUTH,WEST
92844,CA IRVINE,WEST
11794,NY LONG ISLAND EAST,NORTH
77504,TX HOUSTON NORTH,CENTRAL
60062,IN INDIANAPOLIS NORTH,EAST
90660,CA LONG BEACH,WEST
30114,GA ATLANTA NORTH,SOUTH
94103,CA SAN FRANCISCO EAST,WEST
6443,CT HARTFORD,EAST
11203,NY BROOKLYN,NORTH
93305,CA CENTRAL,WEST
80129,CO SOUTH,WEST
28207,NC CHARLOTTE,SOUTH
31513,FL JACKSONVILLE,SOUTH
70443,LA NEW ORLEANS,SOUTH
38382,TN NASHVILLE,CENTRAL
36467,AL BIRMINGHAM,SOUTH
86401,AZ ARIZONA,WEST
8103,NJ SOUTHERN,NORTH
85201,AZ ARIZONA,WEST
77555,TX HOUSTON NORTH,CENTRAL
37040,TN NASHVILLE,CENTRAL
33701,FL TAMPA,SOUTH
73099,OK OKLAHOMA CITY,CENTRAL
94535,CA SAN FRANCISCO EAST,WEST
31602,FL TALLAHASSEE,SOUTH
27858,NC RALEIGH,EAST
93710,CA CENTRAL,WEST
6902,NY WESTCHESTER,EAST
46580,IN INDIANAPOLIS NORTH,EAST
11204,NY BROOKLYN,NORTH
80111,CO SOUTH,WEST
92543,CA RIVERSIDE,WEST
92120,CA SAN DIEGO,WEST
21209,MD BETHESDA SOUTH,EAST
72703,OK OKLAHOMA CITY,CENTRAL
16625,PA PITTSBURGH,EAST
43235,PA PITTSBURGH,EAST
10956,NY WESTCHESTER,EAST
47630,KY LOUISVILLE,EAST
11232,NY BROOKLYN,NORTH
68506,MO KANSAS CITY,CENTRAL
32456,FL TALLAHASSEE,SOUTH
28562,NC WILMINGTON,EAST
92121,CA SAN DIEGO,WEST
1742,CT HARTFORD,EAST
33919,FL MIAMI,SOUTH
48126,MI DETROIT,EAST
40241,KY LOUISVILLE,EAST
94954,CA SAN FRANCISCO EAST,WEST
92354,CA RIVERSIDE,WEST
91607,CA LOS ANGELES NORTH,WEST
10029,NY MANHATTAN,NORTH
78258,TX AUSTIN,CENTRAL
29229,NC CHARLOTTE,SOUTH
94609,CA SAN FRANCISCO EAST,WEST
29379,NC CHARLOTTE,SOUTH
43952,PA PITTSBURGH,EAST
10075,NY MANHATTAN,NORTH
71103,TX DALLAS,CENTRAL
34109,FL MIAMI,SOUTH
37091,AL HUNTSVILLE,CENTRAL
90024,CA LONG BEACH,WEST
33705,FL TAMPA,SOUTH
28037,NC CHARLOTTE,SOUTH
2886,CT HARTFORD,EAST
33136,FL MIAMI,SOUTH
60030,IN INDIANAPOLIS NORTH,EAST
95128,CA SAN JOSE,WEST
93722,CA CENTRAL,WEST
6510,CT BRIDGEPORT,EAST
77058,TX HOUSTON NORTH,CENTRAL
16033,PA PITTSBURGH,EAST
11572,NY LONG ISLAND WEST,NORTH
8054,NJ SOUTHERN,NORTH
94518,CA SAN FRANCISCO EAST,WEST
44333,PA PITTSBURGH,EAST
28372,NC WILMINGTON,EAST
86409,AZ ARIZONA,WEST
90703,CA LONG BEACH,WEST
14127,NY BUFFALO,EAST
39328,AL BIRMINGHAM,SOUTH
31015,GA ATLANTA SOUTH,SOUTH
29425,FL JACKSONVILLE,SOUTH
46804,IN INDIANAPOLIS NORTH,EAST
89120,NV LAS VEGAS,WEST
45219,KY LOUISVILLE,EAST
10467,NY BRONX,NORTH
37367,TN KNOXVILLE,CENTRAL
44022,PA PITTSBURGH,EAST
32308,FL TALLAHASSEE,SOUTH
86403,AZ ARIZONA,WEST
40065,KY LOUISVILLE,EAST
6605,CT BRIDGEPORT,EAST
72315,TN NASHVILLE,CENTRAL
49546,MI DETROIT,EAST
48108,MI DETROIT,EAST
23116,VA ALEXANDRIA,EAST
31901,GA ATLANTA SOUTH,SOUTH
75203,TX IRVING,CENTRAL
92604,CA IRVINE,WEST
27540,NC RALEIGH,EAST
50131,MO KANSAS CITY,CENTRAL
47303,IN INDIANAPOLIS NORTH,EAST
78230,TX AUSTIN,CENTRAL
29162,NC CHARLOTTE,SOUTH
19141,PA PHILADELPHIA NORTH,NORTH
43123,PA PITTSBURGH,EAST
95403,CA SAN FRANCISCO EAST,WEST
1103,CT BRIDGEPORT,EAST
43506,MI DETROIT,EAST
85122,AZ ARIZONA,WEST
45013,KY LOUISVILLE,EAST
80525,CO SOUTH,WEST
44109,PA PITTSBURGH,EAST
27909,NC RALEIGH,EAST
48912,MI DETROIT,EAST
96003,CA SAN FRANCISCO EAST,WEST
78681,TX AUSTIN,CENTRAL
13421,NY BUFFALO,EAST
93721,CA CENTRAL,WEST
85037,AZ ARIZONA,WEST
37087,TN NASHVILLE,CENTRAL
46219,IN INDIANAPOLIS NORTH,EAST
87111,TX EL PASO,CENTRAL
70112,LA NEW ORLEANS,SOUTH
76248,TX FORT WORTH,CENTRAL
19707,PA PHILADELPHIA SOUTH,NORTH
72712,OK OKLAHOMA CITY,CENTRAL
85029,AZ ARIZONA,WEST
79912,TX EL PASO,CENTRAL
27330,NC RALEIGH,EAST
80203,CO SOUTH,WEST
27607,NC RALEIGH,EAST
28806,SC GREENVILLE,SOUTH
90056,CA LONG BEACH,WEST
33143,FL MIAMI,SOUTH
91754,CA LOS ANGELES NORTH,WEST
19901,PA PHILADELPHIA SOUTH,NORTH
33563,FL TAMPA,SOUTH
74137,OK OKLAHOMA CITY,CENTRAL
95032,CA SAN JOSE,WEST
6107,CT HARTFORD,EAST
94541,CA SAN JOSE,WEST
81050,CO SOUTH,WEST
10901,NY WESTCHESTER,EAST
6510,CT BRIDGEPORT,EAST
90089,CA LONG BEACH,WEST
36801,AL BIRMINGHAM,SOUTH
50014,MO KANSAS CITY,CENTRAL
78613,TX AUSTIN,CENTRAL
47620,KY LOUISVILLE,EAST
7438,NJ HACKENSACK,NORTH
15219,PA PITTSBURGH,EAST
30606,SC GREENVILLE,SOUTH
77471,TX AUSTIN,CENTRAL
28054,NC CHARLOTTE,SOUTH
34748,FL ORLANDO,SOUTH
60154,IN INDIANAPOLIS NORTH,EAST
33308,FL WEST PALM BEACH,SOUTH
28052,NC CHARLOTTE,SOUTH
28056,NC CHARLOTTE,SOUTH
1605,CT HARTFORD,EAST
92395,CA RIVERSIDE,WEST
49201,MI DETROIT,EAST
32701,FL ORLANDO,SOUTH
47909,IN INDIANAPOLIS NORTH,EAST
92335,CA RIVERSIDE,WEST
20176,VA ALEXANDRIA,EAST
73131,OK OKLAHOMA CITY,CENTRAL
18951,PA PHILADELPHIA NORTH,NORTH
22306,VA ALEXANDRIA,EAST
92627,CA IRVINE,WEST
73103,OK OKLAHOMA CITY,CENTRAL
95682,CA SACRAMENTO,WEST
32771,FL ORLANDO,SOUTH
8050,NJ SOUTHERN,NORTH
60012,IN INDIANAPOLIS NORTH,EAST
15237,PA PITTSBURGH,EAST
30906,SC GREENVILLE,SOUTH
16602,PA PITTSBURGH,EAST
60148,IN INDIANAPOLIS NORTH,EAST
2301,CT HARTFORD,EAST
32205,FL JACKSONVILLE,SOUTH
31088,GA ATLANTA SOUTH,SOUTH
21784,MD BETHESDA SOUTH,EAST
25701,KY LOUISVILLE,EAST
15853,PA PITTSBURGH,EAST
36604,LA NEW ORLEANS,SOUTH
60118,IN INDIANAPOLIS NORTH,EAST
44514,PA PITTSBURGH,EAST
31904,GA ATLANTA SOUTH,SOUTH
33990,FL MIAMI,SOUTH
33612,FL TAMPA,SOUTH
45150,KY LOUISVILLE,EAST
60045,IN INDIANAPOLIS NORTH,EAST
31406,FL JACKSONVILLE,SOUTH
28303,NC WILMINGTON,EAST
75070,TX IRVING,CENTRAL
46845,IN INDIANAPOLIS NORTH,EAST
85018,AZ ARIZONA,WEST
18434,NY WESTCHESTER,EAST
6460,CT BRIDGEPORT,EAST
6851,NY WESTCHESTER,EAST
38501,TN KNOXVILLE,CENTRAL
10704,NY BRONX,NORTH
30707,GA ATLANTA NORTH,SOUTH
25526,KY LOUISVILLE,EAST
85031,AZ ARIZONA,WEST
7003,NJ NORTHERN,NORTH
27612,NC RALEIGH,EAST
30622,SC GREENVILLE,SOUTH
37129,TN NASHVILLE,CENTRAL
28144,NC CHARLOTTE,SOUTH
39837,GA ATLANTA SOUTH,SOUTH
14772,NY BUFFALO,EAST
2721,CT HARTFORD,EAST
6810,NY WESTCHESTER,EAST
70503,LA NEW ORLEANS,SOUTH
70737,LA NEW ORLEANS,SOUTH
8035,NJ SOUTHERN,NORTH
38019,TN NASHVILLE,CENTRAL
75032,TX DALLAS,CENTRAL
15673,PA PITTSBURGH,EAST
2129,CT HARTFORD,EAST
27518,NC RALEIGH,EAST
19131,PA PHILADELPHIA SOUTH,NORTH
31794,GA ATLANTA SOUTH,SOUTH
79106,TX EL PASO,CENTRAL
46375,IN INDIANAPOLIS NORTH,EAST
68901,MO KANSAS CITY,CENTRAL
28301,NC WILMINGTON,EAST
37620,NC CHARLOTTE,SOUTH
28625,NC CHARLOTTE,SOUTH
41017,KY LOUISVILLE,EAST
64080,MO KANSAS CITY,CENTRAL
39301,AL BIRMINGHAM,SOUTH
30101,GA ATLANTA NORTH,SOUTH
80233,CO SOUTH,WEST
93405,CA SAN JOSE,WEST
12110,NY WESTCHESTER,EAST
43953,PA PITTSBURGH,EAST
71115,TX DALLAS,CENTRAL
33180,FL MIAMI,SOUTH
18960,PA PHILADELPHIA NORTH,NORTH
48187,MI DETROIT,EAST
21061,MD BETHESDA SOUTH,EAST
78735,TX AUSTIN,CENTRAL
48374,MI DETROIT,EAST
11714,NY LONG ISLAND EAST,NORTH
10016,NY MANHATTAN,NORTH
46975,IN INDIANAPOLIS NORTH,EAST
8723,NJ CENTRAL,NORTH
77070,TX HOUSTON NORTH,CENTRAL
19111,PA PHILADELPHIA NORTH,NORTH
39475,LA NEW ORLEANS,SOUTH
15501,PA PITTSBURGH,EAST
32344,FL TALLAHASSEE,SOUTH
90740,CA IRVINE,WEST
30078,GA ATLANTA NORTH,SOUTH
10954,NY WESTCHESTER,EAST
18705,NY WESTCHESTER,EAST
68114,MO KANSAS CITY,CENTRAL
29072,NC CHARLOTTE,SOUTH
91730,CA RIVERSIDE,WEST
91361,CA LOS ANGELES NORTH,WEST
19144,PA PHILADELPHIA NORTH,NORTH
19438,PA PHILADELPHIA NORTH,NORTH
40208,KY LOUISVILLE,EAST
12901,NY WESTCHESTER,EAST
10010,NY MANHATTAN,NORTH
22030,VA ALEXANDRIA,EAST
75160,TX DALLAS,CENTRAL
90723,CA LONG BEACH,WEST
8831,NJ CENTRAL,NORTH
94117,CA SAN FRANCISCO EAST,WEST
28383,NC WILMINGTON,EAST
75025,TX IRVING,CENTRAL
87124,TX EL PASO,CENTRAL
73114,OK OKLAHOMA CITY,CENTRAL
32619,FL TALLAHASSEE,SOUTH
35235,AL HUNTSVILLE,CENTRAL
48708,MI DETROIT,EAST
19312,PA PHILADELPHIA SOUTH,NORTH
12309,NY WESTCHESTER,EAST
93534,CA CENTRAL,WEST
85209,AZ ARIZONA,WEST
6450,CT HARTFORD,EAST
70121,LA NEW ORLEANS,SOUTH
24210,TN KNOXVILLE,CENTRAL
38485,AL HUNTSVILLE,CENTRAL
43031,PA PITTSBURGH,EAST
92663,CA IRVINE,WEST
70403,LA NEW ORLEANS,SOUTH
10705,NY BRONX,NORTH
75024,TX IRVING,CENTRAL
46254,IN INDIANAPOLIS NORTH,EAST
40223,KY LOUISVILLE,EAST
76201,TX FORT WORTH,CENTRAL
10065,NY MANHATTAN,NORTH
33458,FL WEST PALM BEACH,SOUTH
19147,PA PHILADELPHIA SOUTH,NORTH
91106,CA LOS ANGELES NORTH,WEST
43110,PA PITTSBURGH,EAST
33761,FL TAMPA,SOUTH
76063,TX FORT WORTH,CENTRAL
1007,CT BRIDGEPORT,EAST
1970,CT HARTFORD,EAST
32566,FL TALLAHASSEE,SOUTH
60451,IN INDIANAPOLIS NORTH,EAST
95122,CA SAN JOSE,WEST
30458,FL JACKSONVILLE,SOUTH
37604,NC CHARLOTTE,SOUTH
29204,NC CHARLOTTE,SOUTH
90042,CA LOS ANGELES NORTH,WEST
33125,FL MIAMI,SOUTH
13214,NY BUFFALO,EAST
35555,AL BIRMINGHAM,SOUTH
77385,TX HOUSTON NORTH,CENTRAL
19073,PA PHILADELPHIA SOUTH,NORTH
11545,NY LONG ISLAND WEST,NORTH
30106,GA ATLANTA NORTH,SOUTH
64133,MO KANSAS CITY,CENTRAL
10026,NY MANHATTAN,NORTH
30064,GA ATLANTA NORTH,SOUTH
91307,CA LOS ANGELES NORTH,WEST
21093,MD BETHESDA SOUTH,EAST
10983,NY WESTCHESTER,EAST
28801,SC GREENVILLE,SOUTH
20815,MD BETHESDA SOUTH,EAST
60123,IN INDIANAPOLIS NORTH,EAST
18034,PA PHILADELPHIA NORTH,NORTH
27820,NC RALEIGH,EAST
11779,NY LONG ISLAND EAST,NORTH
92881,CA RIVERSIDE,WEST
91942,CA SAN DIEGO,WEST
95829,CA SACRAMENTO,WEST
7030,NJ NORTHERN,NORTH
91355,CA CENTRAL,WEST
77401,TX HOUSTON NORTH,CENTRAL
36054,AL BIRMINGHAM,SOUTH
33176,FL MIAMI,SOUTH
30309,GA ATLANTA NORTH,SOUTH
25801,KY LOUISVILLE,EAST
30012,GA ATLANTA SOUTH,SOUTH
33486,FL WEST PALM BEACH,SOUTH
33484,FL WEST PALM BEACH,SOUTH
92270,CA RIVERSIDE,WEST
95953,CA SACRAMENTO,WEST
48532,MI DETROIT,EAST
90807,CA LONG BEACH,WEST
60622,IN INDIANAPOLIS NORTH,EAST
21236,MD BETHESDA SOUTH,EAST
48043,MI DETROIT,EAST
8080,NJ SOUTHERN,NORTH
45415,KY LOUISVILLE,EAST
35160,AL BIRMINGHAM,SOUTH
10473,NY BRONX,NORTH
35603,AL HUNTSVILLE,CENTRAL
94598,CA SAN FRANCISCO EAST,WEST
51551,MO KANSAS CITY,CENTRAL
44011,PA PITTSBURGH,EAST
14214,NY BUFFALO,EAST
8221,NJ SOUTHERN,NORTH
31023,GA ATLANTA SOUTH,SOUTH
30215,GA ATLANTA SOUTH,SOUTH
91605,CA LOS ANGELES NORTH,WEST
20708,MD BETHESDA SOUTH,EAST
76034,TX FORT WORTH,CENTRAL
37110,AL HUNTSVILLE,CENTRAL
64086,MO KANSAS CITY,CENTRAL
11432,NY LONG ISLAND WEST,NORTH
19702,PA PHILADELPHIA SOUTH,NORTH
41822,KY LOUISVILLE,EAST
7503,NJ CENTRAL,NORTH
19072,PA PHILADELPHIA SOUTH,NORTH
27517,NC RALEIGH,EAST
95521,CA SAN FRANCISCO EAST,WEST
46324,IN INDIANAPOLIS NORTH,EAST
6511,CT BRIDGEPORT,EAST
80913,CO SOUTH,WEST
38125,TN NASHVILLE,CENTRAL
29532,NC WILMINGTON,EAST
93720,CA CENTRAL,WEST
27530,NC WILMINGTON,EAST
27511,NC RALEIGH,EAST
2919,CT HARTFORD,EAST
11577,NY LONG ISLAND WEST,NORTH
33870,FL WEST PALM BEACH,SOUTH
68130,MO KANSAS CITY,CENTRAL
90012,CA LONG BEACH,WEST
77375,TX HOUSTON NORTH,CENTRAL
37232,TN NASHVILLE,CENTRAL
6877,NY WESTCHESTER,EAST
44129,PA PITTSBURGH,EAST
48118,MI DETROIT,EAST
48446,MI DETROIT,EAST
91202,CA LOS ANGELES NORTH,WEST
6447,CT HARTFORD,EAST
23222,VA ALEXANDRIA,EAST
92234,CA RIVERSIDE,WEST
46805,IN INDIANAPOLIS NORTH,EAST
92037,CA SAN DIEGO,WEST
89436,CA SACRAMENTO,WEST
90806,CA LONG BEACH,WEST
75039,TX IRVING,CENTRAL
91403,CA LOS ANGELES NORTH,WEST
28117,NC CHARLOTTE,SOUTH
60543,IN INDIANAPOLIS NORTH,EAST
77027,TX HOUSTON NORTH,CENTRAL
78701,TX AUSTIN,CENTRAL
90025,CA LONG BEACH,WEST
34639,FL TAMPA,SOUTH
95370,CA SAN JOSE,WEST
92404,CA RIVERSIDE,WEST
70115,LA NEW ORLEANS,SOUTH
48509,MI DETROIT,EAST
75150,TX DALLAS,CENTRAL
32177,FL JACKSONVILLE,SOUTH
92128,CA SAN DIEGO,WEST
76012,TX FORT WORTH,CENTRAL
34653,FL TAMPA,SOUTH
76085,TX FORT WORTH,CENTRAL
50327,MO KANSAS CITY,CENTRAL
48197,MI DETROIT,EAST
29572,NC WILMINGTON,EAST
95301,CA SAN JOSE,WEST
29406,FL JACKSONVILLE,SOUTH
34285,FL TAMPA,SOUTH
21207,MD BETHESDA SOUTH,EAST
22191,VA ALEXANDRIA,EAST
47150,KY LOUISVILLE,EAST
28515,NC WILMINGTON,EAST
75071,TX IRVING,CENTRAL
12590,NY WESTCHESTER,EAST
75149,TX DALLAS,CENTRAL
28204,NC CHARLOTTE,SOUTH
11426,NY LONG ISLAND WEST,NORTH
22003,VA ALEXANDRIA,EAST
27312,NC RALEIGH,EAST
2459,CT HARTFORD,EAST
12538,NY WESTCHESTER,EAST
30542,GA ATLANTA NORTH,SOUTH
37203,TN NASHVILLE,CENTRAL
10549,NY WESTCHESTER,EAST
11377,NY QUEENS,NORTH
48166,MI DETROIT,EAST
93701,CA CENTRAL,WEST
92708,CA IRVINE,WEST
19365,PA PHILADELPHIA SOUTH,NORTH
89117,NV LAS VEGAS,WEST
75235,TX IRVING,CENTRAL
75462,TX DALLAS,CENTRAL
11743,NY LONG ISLAND EAST,NORTH
7306,NJ NORTHERN,NORTH
77379,TX HOUSTON NORTH,CENTRAL
11418,NY QUEENS,NORTH
11776,NY LONG ISLAND EAST,NORTH
46615,IN INDIANAPOLIS NORTH,EAST
60642,IN INDIANAPOLIS NORTH,EAST
35022,AL BIRMINGHAM,SOUTH
1805,CT HARTFORD,EAST
60435,IN INDIANAPOLIS NORTH,EAST
49007,MI DETROIT,EAST
45040,KY LOUISVILLE,EAST
70461,LA NEW ORLEANS,SOUTH
93230,CA CENTRAL,WEST
48168,MI DETROIT,EAST
93612,CA CENTRAL,WEST
29316,NC CHARLOTTE,SOUTH
95991,CA SACRAMENTO,WEST
44195,PA PITTSBURGH,EAST
30033,GA ATLANTA NORTH,SOUTH
6467,CT HARTFORD,EAST
42420,KY LOUISVILLE,EAST
29706,NC CHARLOTTE,SOUTH
33060,FL WEST PALM BEACH,SOUTH
12801,NY WESTCHESTER,EAST
11207,NY BROOKLYN,NORTH
66160,MO KANSAS CITY,CENTRAL
19713,PA PHILADELPHIA SOUTH,NORTH
48390,MI DETROIT,EAST
76065,TX IRVING,CENTRAL
60181,IN INDIANAPOLIS NORTH,EAST
44320,PA PITTSBURGH,EAST
35233,AL BIRMINGHAM,SOUTH
30518,GA ATLANTA NORTH,SOUTH
11235,NY BROOKLYN,NORTH
21702,MD BETHESDA SOUTH,EAST
41731,KY LOUISVILLE,EAST
29708,NC CHARLOTTE,SOUTH
10019,NY MANHATTAN,NORTH
92843,CA IRVINE,WEST
22554,VA ALEXANDRIA,EAST
16214,PA PITTSBURGH,EAST
33316,FL WEST PALM BEACH,SOUTH
92648,CA IRVINE,WEST
91505,CA LOS ANGELES NORTH,WEST
33487,FL WEST PALM BEACH,SOUTH
60047,IN INDIANAPOLIS NORTH,EAST
60637,IN INDIANAPOLIS NORTH,EAST
32904,FL WEST PALM BEACH,SOUTH
46280,IN INDIANAPOLIS NORTH,EAST
42633,TN KNOXVILLE,CENTRAL
77065,TX HOUSTON NORTH,CENTRAL
29169,NC CHARLOTTE,SOUTH
32218,FL JACKSONVILLE,SOUTH
36330,AL BIRMINGHAM,SOUTH
29690,SC GREENVILLE,SOUTH
33614,FL TAMPA,SOUTH
92683,CA IRVINE,WEST
29212,NC CHARLOTTE,SOUTH
46260,IN INDIANAPOLIS NORTH,EAST
66049,MO KANSAS CITY,CENTRAL
29720,NC CHARLOTTE,SOUTH
19112,PA PHILADELPHIA SOUTH,NORTH
32174,FL ORLANDO,SOUTH
44139,PA PITTSBURGH,EAST
14420,NY BUFFALO,EAST
30013,GA ATLANTA SOUTH,SOUTH
30224,GA ATLANTA SOUTH,SOUTH
32765,FL ORLANDO,SOUTH
38655,AL HUNTSVILLE,CENTRAL
94534,CA SAN FRANCISCO EAST,WEST
89121,NV LAS VEGAS,WEST
90602,CA LONG BEACH,WEST
94601,CA SAN FRANCISCO EAST,WEST
39402,LA NEW ORLEANS,SOUTH
31069,GA ATLANTA SOUTH,SOUTH
60657,IN INDIANAPOLIS NORTH,EAST
78640,TX AUSTIN,CENTRAL
31207,GA ATLANTA SOUTH,SOUTH
34986,FL WEST PALM BEACH,SOUTH
40831,TN KNOXVILLE,CENTRAL
27834,NC RALEIGH,EAST
30240,GA ATLANTA SOUTH,SOUTH
29732,NC CHARLOTTE,SOUTH
46237,IN INDIANAPOLIS NORTH,EAST
21157,MD BETHESDA SOUTH,EAST
60064,IN INDIANAPOLIS NORTH,EAST
14075,NY BUFFALO,EAST
11423,NY LONG ISLAND WEST,NORTH
6489,CT HARTFORD,EAST
92555,CA RIVERSIDE,WEST
27360,NC RALEIGH,EAST
92307,CA RIVERSIDE,WEST
28785,SC GREENVILLE,SOUTH
33016,FL MIAMI,SOUTH
77494,TX AUSTIN,CENTRAL
90813,CA LONG BEACH,WEST
96001,CA SAN FRANCISCO EAST,WEST
85013,AZ ARIZONA,WEST
85653,AZ ARIZONA,WEST
94513,CA SAN FRANCISCO EAST,WEST
48858,MI DETROIT,EAST
78704,TX AUSTIN,CENTRAL
44484,PA PITTSBURGH,EAST
32901,FL WEST PALM BEACH,SOUTH
92592,CA SAN DIEGO,WEST
37204,TN NASHVILLE,CENTRAL
33610,FL TAMPA,SOUTH
37043,TN NASHVILLE,CENTRAL
42001,KY LOUISVILLE,EAST
90502,CA LONG BEACH,WEST
48235,MI DETROIT,EAST
91910,CA SAN DIEGO,WEST
76109,TX FORT WORTH,CENTRAL
90808,CA LONG BEACH,WEST
78731,TX AUSTIN,CENTRAL
75042,TX DALLAS,CENTRAL
48014,MI DETROIT,EAST
29485,FL JACKSONVILLE,SOUTH
93631,CA CENTRAL,WEST
93313,CA CENTRAL,WEST
34994,FL WEST PALM BEACH,SOUTH
38119,TN NASHVILLE,CENTRAL
27536,NC RALEIGH,EAST
90021,CA LONG BEACH,WEST
89523,CA SACRAMENTO,WEST
32347,FL TALLAHASSEE,SOUTH
92411,CA RIVERSIDE,WEST
91790,CA IRVINE,WEST
10018,NY MANHATTAN,NORTH
11771,NY LONG ISLAND EAST,NORTH
91342,CA LOS ANGELES NORTH,WEST
92651,CA IRVINE,WEST
94143,CA SAN FRANCISCO EAST,WEST
46530,IN INDIANAPOLIS NORTH,EAST
39581,LA NEW ORLEANS,SOUTH
51035,MO KANSAS CITY,CENTRAL
94565,CA SAN FRANCISCO EAST,WEST
49009,MI DETROIT,EAST
87107,TX EL PASO,CENTRAL
1930,CT HARTFORD,EAST
21113,MD BETHESDA SOUTH,EAST
27546,NC WILMINGTON,EAST
32778,FL ORLANDO,SOUTH
33626,FL TAMPA,SOUTH
30534,GA ATLANTA NORTH,SOUTH
95382,CA SAN JOSE,WEST
19138,PA PHILADELPHIA NORTH,NORTH
33161,FL MIAMI,SOUTH
45248,KY LOUISVILLE,EAST
90503,CA LONG BEACH,WEST
40504,KY LOUISVILLE,EAST
2903,CT HARTFORD,EAST
41653,KY LOUISVILLE,EAST
78249,TX AUSTIN,CENTRAL
89052,NV LAS VEGAS,WEST
22801,VA ALEXANDRIA,EAST
29307,NC CHARLOTTE,SOUTH
28147,NC CHARLOTTE,SOUTH
81506,CO SOUTH,WEST
71105,TX DALLAS,CENTRAL
91950,CA SAN DIEGO,WEST
15213,PA PITTSBURGH,EAST
19083,PA PHILADELPHIA SOUTH,NORTH
64804,OK OKLAHOMA CITY,CENTRAL
11579,NY LONG ISLAND WEST,NORTH
91767,CA IRVINE,WEST
93551,CA CENTRAL,WEST
6770,CT BRIDGEPORT,EAST
2723,CT HARTFORD,EAST
12065,NY WESTCHESTER,EAST
92102,CA SAN DIEGO,WEST
13057,NY BUFFALO,EAST
32211,FL JACKSONVILLE,SOUTH
10006,NY MANHATTAN,NORTH
6840,NY WESTCHESTER,EAST
2151,CT HARTFORD,EAST
2860,CT HARTFORD,EAST
20874,VA ALEXANDRIA,EAST
21208,MD BETHESDA SOUTH,EAST
30143,GA ATLANTA NORTH,SOUTH
1702,CT HARTFORD,EAST
75701,TX DALLAS,CENTRAL
44221,PA PITTSBURGH,EAST
72404,TN NASHVILLE,CENTRAL
37849,TN KNOXVILLE,CENTRAL
35475,AL BIRMINGHAM,SOUTH
27012,NC RALEIGH,EAST
72736,OK OKLAHOMA CITY,CENTRAL
29063,NC CHARLOTTE,SOUTH
80909,CO SOUTH,WEST
12208,NY WESTCHESTER,EAST
81521,CO SOUTH,WEST
7041,NJ NORTHERN,NORTH
35802,AL HUNTSVILLE,CENTRAL
60188,IN INDIANAPOLIS NORTH,EAST
30286,GA ATLANTA SOUTH,SOUTH
80922,CO SOUTH,WEST
22033,VA ALEXANDRIA,EAST
60540,IN INDIANAPOLIS NORTH,EAST
48314,MI DETROIT,EAST
29927,FL JACKSONVILLE,SOUTH
48152,MI DETROIT,EAST
27587,NC RALEIGH,EAST
74104,OK OKLAHOMA CITY,CENTRAL
94559,CA SAN FRANCISCO EAST,WEST
10801,NY BRONX,NORTH
93285,CA CENTRAL,WEST
15905,PA PITTSBURGH,EAST
11520,NY LONG ISLAND WEST,NORTH
19139,PA PHILADELPHIA SOUTH,NORTH
48091,MI DETROIT,EAST
30525,GA ATLANTA NORTH,SOUTH
33948,FL TAMPA,SOUTH
46220,IN INDIANAPOLIS NORTH,EAST
95661,CA SACRAMENTO,WEST
93277,CA CENTRAL,WEST
30728,GA ATLANTA NORTH,SOUTH
27284,NC RALEIGH,EAST
42025,KY LOUISVILLE,EAST
31405,FL JACKSONVILLE,SOUTH
32605,FL TALLAHASSEE,SOUTH
85718,AZ ARIZONA,WEST
37923,TN KNOXVILLE,CENTRAL
15224,PA PITTSBURGH,EAST
33028,FL MIAMI,SOUTH
93312,CA CENTRAL,WEST
50309,MO KANSAS CITY,CENTRAL
93309,CA CENTRAL,WEST
18102,PA PHILADELPHIA NORTH,NORTH
27609,NC RALEIGH,EAST
20191,VA ALEXANDRIA,EAST
93301,CA CENTRAL,WEST
66210,MO KANSAS CITY,CENTRAL
60457,IN INDIANAPOLIS NORTH,EAST
25601,KY LOUISVILLE,EAST
30005,GA ATLANTA NORTH,SOUTH
41858,KY LOUISVILLE,EAST
2914,CT HARTFORD,EAST
27215,NC RALEIGH,EAST
37167,AL HUNTSVILLE,CENTRAL
31313,FL JACKSONVILLE,SOUTH
11379,NY QUEENS,NORTH
48309,MI DETROIT,EAST
77063,TX HOUSTON NORTH,CENTRAL
2130,CT HARTFORD,EAST
64068,MO KANSAS CITY,CENTRAL
88005,TX EL PASO,CENTRAL
11746,NY LONG ISLAND EAST,NORTH
20036,MD BETHESDA SOUTH,EAST
32539,FL TALLAHASSEE,SOUTH
93906,CA SAN JOSE,WEST
27565,NC RALEIGH,EAST
20659,MD BETHESDA SOUTH,EAST
75965,TX DALLAS,CENTRAL
19148,PA PHILADELPHIA SOUTH,NORTH
73034,OK OKLAHOMA CITY,CENTRAL
49242,MI DETROIT,EAST
30401,GA ATLANTA SOUTH,SOUTH
32086,FL JACKSONVILLE,SOUTH
70071,LA NEW ORLEANS,SOUTH
48381,MI DETROIT,EAST
46122,IN INDIANAPOLIS NORTH,EAST
20166,VA ALEXANDRIA,EAST
34711,FL ORLANDO,SOUTH
30189,GA ATLANTA NORTH,SOUTH
7023,NJ CENTRAL,NORTH
